Year,Month,gear_type,GEAR_NME,COMMON_NME,Weight(LBS),Weight(kg),Value($)
1999,8,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,486643.94,220740.33,1586446.23
1999,9,seine,"SEINE, PURSE, SALMON",CHUM SALMON,1203208,545771.58,433154.88
1999,9,seine,"SEINE, PURSE, SALMON",COHO SALMON,5330,2417.69,3997.5
1999,9,seine,"SEINE, PURSE, SALMON",PINK SALMON,37088,16823.02,10013.76
1999,9,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,34015,15429.11,110888.9
1999,10,seine,"SEINE, PURSE, SALMON",CHUM SALMON,1688408,765856.87,607826.88
1999,10,seine,"SEINE, PURSE, SALMON",COHO SALMON,2697.24,1223.49,2064.75
2000,7,seine,"SEINE, PURSE, SALMON",CHUM SALMON,633103,287173.67,335544.59
2000,7,seine,"SEINE, PURSE, SALMON",PINK SALMON,2032692,922023.1,609807.6
2000,7,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,3865004.36,1753154.5,7961872.98
2000,8,seine,"SEINE, PURSE, SALMON",CHUM SALMON,603251,273632.89,319723.07
2000,8,seine,"SEINE, PURSE, SALMON",COHO SALMON,431,195.49,392.21
2000,8,seine,"SEINE, PURSE, SALMON",PINK SALMON,11228891,5093391.51,3368412.45
2000,8,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,2628056.34,1192078.64,5411835.07
2000,9,seine,"SEINE, PURSE, SALMON",CHUM SALMON,220673,100096.63,116956.69
2000,9,seine,"SEINE, PURSE, SALMON",COHO SALMON,9859,4472.01,8971.69
2000,9,seine,"SEINE, PURSE, SALMON",PINK SALMON,5266,2388.62,1579.8
2000,10,seine,"SEINE, PURSE, SALMON",CHUM SALMON,2046527,928298.57,1084659.31
2000,10,seine,"SEINE, PURSE, SALMON",PINK SALMON,352,159.67,105.6
2001,7,seine,"SEINE, PURSE, SALMON",CHUM SALMON,790221,358441.94,339795.03
2001,7,seine,"SEINE, PURSE, SALMON",COHO SALMON,175,79.38,113.75
